instr,term,enroll,evals,rmd_class,rmd_instr,time,Course_ID,Course_Name,expected_grade,expected_gpa,actual_grade,actual_gpa
"Jemmott, Colin William",SP20,137,56,94.6,100.0,7.11,DSC 10,Principles of Data Science (A),A-,3.76,A-,3.74
"Gupta, Amarnath",SP20,90,35,45.7,31.4,7.64,DSC 100,Intro to Data Management (A),B,3.14,A-,3.92
"Powell, Thomas Allan",SP20,106,34,60.6,57.6,11.0,DSC 106,Intro to Data Visualization (A),B+,3.52,A-,3.72
"Cloninger, Alexander",SP20,68,19,78.9,89.5,9.39,DSC 120,Signal Processing/Data Analys (A),A-,3.7,B+,3.63
"Mishne, Gal",SP20,68,19,78.9,52.6,9.39,DSC 120,Signal Processing/Data Analys (A),A-,3.7,B+,3.63
"Twomey, Robert Daniel",SP20,89,23,100.0,100.0,5.59,DSC 160,Data Science and the Arts (A),A,4.0,A-,3.83
"Fraenkel, Aaron Mcmillan",SP20,34,5,80.0,100.0,10.1,DSC 180B,Data Science Project II (A),A,4.0,A-,3.86
"Fraenkel, Aaron Mcmillan",SP20,42,8,100.0,100.0,7.17,DSC 180B,Data Science Project II (B),B,3.0,A-,3.83
"Shang, Jingbo",SP20,123,42,92.1,92.1,7.08,DSC 190,Topics in Data Science (A),A-,3.79,A-,3.9
"Lerner, Ian Amihay",SP20,35,7,85.7,100.0,5.64,DSC 190,Topics in Data Science (B),B+,3.67,A-,3.95
"Langlois, Marina",SP20,141,50,90.0,94.0,12.1,DSC 30,DataStrc/Algrthms for Data Sci (A),B+,3.57,B+,3.58
"Tiefenbruck, Janine LoBue",SP20,60,15,80.0,100.0,6.1,DSC 40A,Theor Fndtns of Data Sci I (A),B+,3.3,B,3.27
"Tiefenbruck, Janine LoBue",SP20,43,24,91.7,87.5,8.08,DSC 40A,Theor Fndtns of Data Sci I (B),B+,3.41,B+,3.5
"Eldridge, Justin Matthew",SP20,98,39,94.6,100.0,6.24,DSC 40B,Theor Fndtns of Data Sci II (A),A-,3.8,B+,3.68
"Langlois, Marina",SP20,117,45,90.5,78.6,14.31,DSC 80,Practice of Data Science (A),B+,3.4,B+,3.39
"Dow, Steven P",SP20,108,34,97.0,97.0,6.38,DSGN 100,Prototyping (A),A-,3.73,B+,3.68
"Xia, Haijun",SP20,86,24,87.5,83.3,6.41,DSGN 100,Prototyping (B),A-,3.86,A-,3.72
"Baghdadchi, Saharnaz",SP20,186,129,96.9,99.2,7.45,ECE 101,Linear Systems Fundamentals (A),B+,3.6,A-,3.73
"Kuzum, Duygu",SP20,43,15,93.3,93.3,7.97,ECE 103,Fundamntls/Devices & Materials (A),B+,3.4,B+,3.65
"Fullerton, Eric E",SP20,79,28,64.3,67.9,10.13,ECE 107,Electromagnetism (A),B-,2.94,B+,3.47
"Orlitsky, Alon",SP20,311,117,82.0,81.1,9.41,ECE 109,Engineering Probability&Stats (A),B+,3.47,B+,3.49
"Karna, Vishal",SP20,126,48,97.9,100.0,7.63,ECE 111,Advanced Digital Design Proj (A),B+,3.63,A-,3.89
"Sievenpiper, Daniel F.",SP20,43,13,91.7,100.0,6.33,ECE 123,Antenna Systems Engineering (A),B+,3.45,B+,3.45
"Esmaili, Gholamreza",SP20,31,11,81.8,72.7,12.86,ECE 124,Motor Drives (A),B,3.25,B+,3.63
"Esmaili, Gholamreza",SP20,37,20,90.0,90.0,10.0,ECE 125B,Intro to Power Electronics II (A),B,3.17,B+,3.49
"Abi Samra, Nicholas Camill",SP20,27,14,92.9,92.9,5.5,ECE 128C,Power Grid Resiliency (A),A-,3.85,A-,3.94
"Gessner, Richard K.",SP20,48,14,85.7,84.6,11.07,ECE 140B,The Art of Product Eng II (A),B+,3.33,B+,3.66
"Khoshabeh, Ramsin",SP20,48,14,85.7,92.3,11.07,ECE 140B,The Art of Product Eng II (A),B+,3.33,B+,3.66
"Gessner, Richard K.",SP20,53,21,90.0,100.0,12.08,ECE 141B,Software Foundations II (A),A-,3.73,A-,3.76
"Phan, Alex Minh Giang",SP20,21,15,93.3,100.0,8.37,ECE 144,LabVIEW Programming (A),B+,3.38,A-,3.78
"Schurgers, Curt",SP20,117,79,78.2,79.2,9.09,ECE 15,Engineering Computation (A),B+,3.47,B,3.27
"Zhang, Xinyu",SP20,21,8,71.4,85.7,8.79,ECE 158B,Data Networks II (A),B+,3.5,B+,3.38
"Harris, Frederick Joel",SP20,29,9,88.9,87.5,7.61,ECE 161C,Apps of Digital Signal Process (A),B+,3.5,B+,3.62
"Hsueh, Tzu-Chien",SP20,58,51,92.2,94.1,9.72,ECE 163,Electronic Circuits & Systems (A),B,3.16,B+,3.69
"Mercier, Patrick Philip",SP20,73,27,88.5,92.3,11.88,ECE 165,Digtl Integrated Circuit Desgn (A),B,3.19,B+,3.62
"Gilja, Vikash",SP20,92,34,93.9,93.8,8.62,ECE 17,Object-Oriented Programming (A),A-,3.76,A-,3.78
"Sworder, David D.",SP20,138,41,69.4,65.7,7.31,ECE 171A,Linear Control System Theory (A),B+,3.46,B+,3.53
"Kreutz-Delgado, Kenneth",SP20,55,14,92.3,92.3,8.64,ECE 175B,Prob Reasoning & Graphical Mod (A),A-,3.7,A-,3.83
"Liu, Zhaowei",SP20,44,13,83.3,83.3,6.04,ECE 25,Introduction to Digital Design (A),B,3.09,A-,3.73
"Mir Arabbaygi, Siavash",SP20,98,47,65.9,72.1,10.09,ECE 30,Intro to Computer Engineering (A),B+,3.32,B,3.29
"Schurgers, Curt",SP20,167,97,87.4,91.6,8.96,ECE 35,Introduction to Analog Design (A),B,3.26,B+,3.54
"Dilmaghani, Raheleh B.",SP20,176,83,44.9,21.8,8.95,ECE 45,Circuits and Systems (A),C+,2.31,B-,2.83
"Gilja, Vikash",SP20,36,8,100.0,100.0,5.93,ECE 5,Intro to ECE (A),A,4.0,A-,3.9
"Hall, Drew A.",SP20,36,8,100.0,100.0,5.93,ECE 5,Intro to ECE (A),A,4.0,A-,3.9
"Nguyen, Truong Quang",SP20,36,8,100.0,100.0,5.93,ECE 5,Intro to ECE (A),A,4.0,A-,3.9
"Baghdadchi, Saharnaz",SP20,170,118,98.3,99.1,8.43,ECE 65,Components & Circuits Lab (A),B+,3.64,B+,3.47
"Tocoian, Oana",SP20,131,54,86.8,86.8,5.38,ECON 1,Principles of Microeconomics (A),B,3.18,B+,3.31
"Tocoian, Oana",SP20,78,30,89.7,89.7,4.36,ECON 1,Principles of Microeconomics (B),B,3.0,B,3.28
"Sinitsyn, Maxim",SP20,79,22,68.2,63.6,6.5,ECON 100A,Microeconomics A (A),B,3.17,B+,3.45
"Sinitsyn, Maxim",SP20,78,17,82.4,68.8,6.26,ECON 100A,Microeconomics A (B),B,3.1,B+,3.34
"Tocoian, Oana",SP20,96,28,85.7,89.3,5.86,ECON 100A,Microeconomics A (C),B,3.17,B+,3.32
"Levkoff, Steven B.",SP20,208,46,88.4,93.0,6.82,ECON 100B,Microeconomics B (A),B,3.14,B+,3.35
"Levkoff, Steven B.",SP20,189,44,88.4,88.4,7.52,ECON 100B,Microeconomics B (B),B+,3.66,B+,3.58
"Boomhower, Judson P",SP20,172,54,85.2,85.2,6.28,ECON 100C,Microeconomics C (A),B+,3.51,B+,3.45
"Boomhower, Judson P",SP20,173,60,98.2,94.6,6.46,ECON 100C,Microeconomics C (B),B+,3.43,B+,3.49
"Newhouse, Herbert S",SP20,136,38,88.6,71.4,5.17,ECON 109,Game Theory (A),B+,3.39,B+,3.43
"Newhouse, Herbert S",SP20,136,29,85.2,80.8,4.57,ECON 109,Game Theory (B),B+,3.57,B+,3.3
"Candido, Maria Teresa",SP20,243,56,98.1,90.4,6.01,ECON 110A,Macroeconomics A (A),B+,3.56,B+,3.32
"Candido, Maria Teresa",SP20,356,81,97.4,93.4,5.97,ECON 110B,Macroeconomics B (A),B+,3.52,B+,3.42
"O, Mun Pyung",SP20,192,37,84.8,75.0,6.26,ECON 120A,Econometrics A (A),B+,3.4,B+,3.34
"Ma, Xinwei",SP20,165,44,70.7,75.0,6.31,ECON 120B,Econometrics B (A),B+,3.59,B+,3.44
"Ma, Xinwei",SP20,194,44,71.4,64.3,8.36,ECON 120B,Econometrics B (B),B+,3.38,B+,3.36
"O, Mun Pyung",SP20,279,84,76.8,65.9,7.04,ECON 120C,Econometrics C (A),B,3.29,B+,3.31
"Tayman, Jeff",SP20,47,12,100.0,91.7,5.17,ECON 125,Demographic Analys&Forecasting (A),B,3.27,B,3.19
"Tang, Yuan Emily",SP20,128,27,92.0,100.0,4.42,ECON 130,Public Policy (A),B+,3.67,B+,3.49
"Nieto-Barthaburu, Augusto",SP20,172,40,97.3,100.0,4.61,ECON 131,Economics of the Environment (A),A-,3.73,B+,3.35
"Gelber, Alexander Michael",SP20,37,11,100.0,100.0,4.9,ECON 134,The U.S. Social Safety Net (A),A-,3.78,B+,3.43
"Nieto-Barthaburu, Augusto",SP20,64,8,100.0,100.0,5.5,ECON 135,Urban Economics (A),B+,3.38,B,3.12
"Trevino, Isabel",SP20,35,13,100.0,92.3,5.12,ECON 142,Behavioral Economics (A),B+,3.4,B+,3.52
"Cohen, Darrel Steven",SP20,118,23,87.0,91.3,6.76,ECON 146,Economic Stabilization (A),B+,3.56,B+,3.41
"Meckel, Katherine Hunter",SP20,53,15,100.0,100.0,4.64,ECON 151,Public Economics:Expenditure I (A),B+,3.67,B+,3.57
"Muralidharan, Karthik",SP20,76,23,95.7,91.3,6.85,ECON 164,The Indian Economy (A),B+,3.56,B+,3.5
"Rauch, James E",SP20,77,21,85.0,80.0,3.9,ECON 165,Middle East Economics (A),B+,3.53,B,3.23
"Newhouse, Herbert S",SP20,64,10,85.7,71.4,8.5,ECON 172B,Operations Research B (A),A,4.0,B+,3.32
"Gibson, Christopher Daniel",SP20,55,16,93.8,75.0,5.88,ECON 173A,Financial Markets (A),B+,3.64,B+,3.48
"Ramey, Garey",SP20,95,18,100.0,94.4,5.83,ECON 173B,Corporate Finance (A),B+,3.5,B+,3.69
"Sinitsyn, Maxim",SP20,53,9,66.7,100.0,7.17,ECON 176,Marketing (A),B,3.0,B+,3.39
"Gibson, Christopher Daniel",SP20,118,28,88.5,84.0,4.96,ECON 3,Principles of Macroeconomics (A),B+,3.52,B+,3.44
"Gibson, Christopher Daniel",SP20,122,30,86.2,86.2,3.88,ECON 3,Principles of Macroeconomics (B),B+,3.64,B+,3.49
"Levkoff, Steven B.",SP20,227,79,93.4,94.7,4.73,ECON 4,Financial Accounting (A),B+,3.5,B+,3.49
"Gallagher-Geurtsen, Tricia Meghan",SP20,56,35,97.0,100.0,5.13,EDS 112,U.S. Urban Education (A),A-,3.85,A-,3.81
"Contreras, Frances E.",SP20,65,17,100.0,100.0,5.97,EDS 113,Chicanas/os & Latinos in Edu (A),B+,3.6,A-,3.97
"Clarke, Sherice Nicole",SP20,54,17,94.1,94.1,4.38,EDS 115,Cog Development & Education (A),A-,3.88,A-,3.89
"Dean, Dallawrence Edward",SP20,52,17,100.0,88.2,4.26,EDS 116,Equity Minded Education (A),A-,3.94,A-,3.95
"Jones, Makeba",SP20,74,27,100.0,100.0,4.04,EDS 117,"Language, Culture & Education (A)",A-,3.96,A,4.0
"Dean, Dallawrence Edward",SP20,49,18,88.2,82.4,4.74,EDS 117,"Language, Culture & Education (B)",A,4.0,A-,3.87
"Lockton, Marie",SP20,69,31,100.0,100.0,4.69,EDS 118,Adolescent Devlp & Education (A),A,4.0,A-,3.9
"Simon, Elizabeth A",SP20,69,13,92.3,100.0,8.33,EDS 124AR,Teach Computation/DigitalWorld (A),A-,3.88,A-,3.87
"Eguchi, Emi",SP20,86,28,100.0,96.4,6.71,EDS 124AR,Teach Computation/DigitalWorld (C),A-,3.96,A-,3.91
"Eguchi, Emi",SP20,66,19,83.3,100.0,8.83,EDS 124AR,Teach Computation/DigitalWorld (D),A-,3.93,A-,3.9
"Simon, Elizabeth A",SP20,121,29,85.7,96.4,6.87,EDS 124BR,Teach Computational Thinking (A),A-,3.95,A-,3.95
"Gallagher-Geurtsen, Tricia Meghan",SP20,57,42,100.0,100.0,5.26,EDS 125,"Hist,Polic&Theory/Bilingual Ed (A)",A-,3.93,A-,3.92
"Jones, Makeba",SP20,47,20,94.4,94.4,3.34,EDS 126,Social Organization/Education (A),A-,3.78,A-,3.92
"Fargason, Sharon Gayle",SP20,32,4,100.0,100.0,3.5,EDS 128B,Intro/Teaching&Learning (Elem) (A),A,4.0,A-,3.94
"Heinzman, Erica M.",SP20,45,18,100.0,100.0,4.28,EDS 129C,Intro/Teach&Learn (Secondary) (A),A-,3.94,A,4.0
"Scharton, Susan Michelle",SP20,40,13,91.7,91.7,6.65,EDS 130,Intro/Acad Ment/Elem Schl Stdn (A),A-,3.92,A-,3.87
"Bintliff, Amy S.V.",SP20,30,13,100.0,100.0,5.27,EDS 133,"Counsel, Mentor, Advise (P-12) (A)",A-,3.92,A-,3.95
"Chung, Luz Marina",SP20,20,8,100.0,100.0,5.5,EDS 136,Intro/Acad Tut/Second Schl Std (A),A,4.0,A-,3.93
"Dean, Dallawrence Edward",SP20,50,23,82.6,86.4,3.89,EDS 25,Am Higher Edu&Collegiate Exper (A),A-,3.8,A-,3.89
"Mancinelli, Ryan Mark",SP20,54,23,91.3,95.7,8.59,ENG 100D,Design for Development (A),A-,3.71,A-,3.83
"Ngo, Anh-Thu T.",SP20,40,12,100.0,91.7,5.83,ENG 100D,Design for Development (B),A-,3.9,A-,3.71
"Daly, Heather Marie",SP20,35,14,100.0,100.0,4.5,ENVR 102,Selected Topics/Environmntl St (A),B+,3.69,A-,3.81
"Patterson, Timothy Raymond",SP20,60,26,88.0,80.8,2.96,ENVR 110,Environmental Law (A),B+,3.55,B+,3.55
"Iatarola, Briana Marie",SP20,55,31,100.0,100.0,3.53,ENVR 140,Wilderness and Human Values (A),A-,3.73,A-,3.83
"Aluwihare, Lihini",SP20,39,12,100.0,100.0,5.33,ESYS 10,Intro to Environmental Systems (A),B+,3.44,B+,3.59
"Teranes, Jane",SP20,126,43,97.6,100.0,4.71,ESYS 103,Envrnmntl Chall: Science & Sol (A),A-,3.74,A-,3.77
"Teranes, Jane",SP20,41,9,100.0,100.0,5.75,ESYS 190B,Envir Sys/Senior Seminar (A),A,4.0,A-,3.96
"Teranes, Jane",SP20,37,7,85.7,71.4,5.36,ESYS 190B,Envir Sys/Senior Seminar (B),B+,3.57,A-,3.91
"Kheshti, Roshanak",SP20,27,5,100.0,100.0,4.1,ETHN 100C,Social Justice Praxis (A),B+,3.67,A,4.0
"Huezo, Alexander D",SP20,53,14,100.0,100.0,5.36,ETHN 106,"Life, Death and the Human (A)",B+,3.69,A-,3.82
"Huezo, Alexander D",SP20,53,16,100.0,100.0,5.0,ETHN 116,US-Mexico Bordr/Comp. Perspect (A),B+,3.69,B+,3.51
"Suzuki, Erin M.",SP20,35,16,100.0,100.0,4.88,ETHN 124,Asian American Literature (A),A-,3.71,A-,3.95
"Lee, Leon Pakyuen",SP20,22,4,100.0,100.0,5.5,ETHN 128,Hip Hop: Politics of Culture (A),A,4.0,A-,3.79
"Marez, Curtis F.",SP20,36,12,100.0,100.0,3.67,ETHN 143,Chicana/o Film & Media Studies (A),B+,3.4,A-,3.73
"Boston, Martin Luther",SP20,36,13,100.0,100.0,5.88,ETHN 152,Law and Civil Rights (A),A-,3.91,A-,3.75
"Streeby, Shelley",SP20,20,9,100.0,88.9,4.72,ETHN 168,Comparative Ethnic Literature (A),A-,3.83,A,4.0
"Borgo, David Garcia",SP20,36,22,81.8,90.9,4.32,ETHN 179,Discover Jazz (A),A-,3.75,A-,3.72
"Fuste, Jose Ignacio",SP20,393,180,91.4,96.0,3.39,ETHN 3,Intro:Making Culture (A),A-,3.91,A-,3.95
"Pines, Heather Alisa",SP20,61,54,94.4,88.7,5.25,FMPH 101,Epidemiology (A),B+,3.36,B+,3.65
"Aldelaimy, Wael",SP20,25,22,95.5,77.3,5.14,FMPH 101,Epidemiology (B),B+,3.44,B,3.08
"Rana, Brinda Kanti",SP20,70,68,92.6,89.7,6.0,FMPH 102,Biostatistics in Public Health (A),B+,3.68,A-,3.88
"Zoumas-Morse, Christine E.",SP20,66,37,94.6,100.0,3.69,FMPH 110,Health Behavior & Chronic Dis (A),A-,3.92,A-,3.97
"Kayser, Georgia Lyn",SP20,72,40,100.0,92.3,5.06,FMPH 130,Environment & Occuption Health (A),A-,3.79,A-,3.85
"Fielding-Miller, Rebecca",SP20,60,30,93.3,96.7,4.63,FMPH 191,Topics in Public Health (A),B+,3.66,B+,3.66
"Leas, Eric Craig",SP20,26,7,100.0,100.0,4.5,FMPH 194,Public Health Capstone II (A),A,4.0,A-,3.92
"Linke, Sarah Elizabeth",SP20,24,8,100.0,100.0,3.25,FMPH 194,Public Health Capstone II (B),A,4.0,A,4.0
"Romero, Sally Ann Dominick",SP20,32,7,83.3,100.0,5.5,FMPH 194,Public Health Capstone II (C),A-,3.83,A-,3.88
"Romero, Sally Ann Dominick",SP20,21,9,100.0,100.0,3.83,FMPH 194,Public Health Capstone II (D),A,4.0,A-,3.96
"Servin, Argentina Elisa No",SP20,26,7,85.7,85.7,5.64,FMPH 194,Public Health Capstone II (E),A-,3.86,A-,3.94
"Schwartz, Jennifer",SP20,85,40,97.4,94.7,3.8,FMPH 40,Introduction to Public Health (A),A-,3.78,A-,3.89
"Hannah, Seth Donal",SP20,32,12,91.7,100.0,5.5,GLBH 100,Special Topics/Global Health (A),A,4.0,A-,3.99
"Wiersma, Steven Todd",SP20,40,38,92.1,97.4,4.29,GLBH 102,Global Health Epidemiology (A),B+,3.63,A-,3.78
"Csordas, Thomas J.",SP20,20,15,93.3,86.7,4.23,GLBH 139,Native American Health (A),A-,3.83,B+,3.63
"Card, Alan",SP20,38,14,100.0,92.3,3.73,GLBH 141,Clinical Perspectives in GH (A),A-,3.92,A,4.0
"Stewart, Alexander B",SP20,35,23,77.3,90.9,4.12,GLBH 147,Global Health and Environment (A),A-,3.71,A-,3.86
"Hannah, Seth Donal",SP20,106,47,97.9,100.0,3.95,GLBH 148,Global Health&Cultrl Diversity (A),A-,3.89,A-,3.95
"Card, Alan",SP20,213,86,100.0,98.8,3.1,GLBH 181,Essentials of Global Health (A),A-,3.98,A-,3.97
"Saravia, Paula F",SP20,91,81,96.3,84.0,4.13,GLBH 20,Introduction to Global Health (A),A-,3.82,A-,3.94
"Reese, Clarissa Jane",SP20,113,50,97.9,100.0,3.81,HDS 1,Intro/HumanDevelopmentScience (A),B+,3.64,B+,3.52
"Yang, Dorothy Daw-Shin",SP20,82,41,89.7,92.3,4.19,HDS 120,Language Development (A),B+,3.51,A-,3.77
"Rodriguez, Victoria Calip",SP20,100,33,93.8,100.0,3.75,HDS 122,Development/Social Cognition (A),A-,3.81,A-,3.96
"Blaise, Jean G",SP20,29,15,100.0,100.0,5.17,HDS 171,Diversity in Human Development (A),A-,3.92,B+,3.69
"Blaise, Jean G",SP20,37,17,94.1,94.1,5.21,HDS 175,PowerWealth&Inequality/HumDev (A),A-,3.94,A-,3.8
"Warstadt, Melissa Fawn",SP20,20,8,100.0,100.0,3.93,HDS 60,Intro to Statistical Analysis (A),A-,3.71,B+,3.32
"Rosenfeld, Susan Alexandra",SP20,42,14,100.0,100.0,4.81,HIAF 112,West Africa Since 1880 (A),A-,3.91,A-,3.8
"Matsumura, Wendy Y",SP20,84,35,97.0,96.8,4.26,HIEA 114,Postwar Japan (A),A-,3.81,A,4.0
"Schneewind, Sarah",SP20,25,15,71.4,76.9,7.93,HIEA 129,Faces of the Chinese Past (A),B+,3.56,A-,3.75
"Muscolino, Micah S",SP20,23,11,90.9,90.9,6.68,HIEA 131,China/War & Revolution 1911-49 (A),A-,3.75,A-,3.81
"Lu, Weijing",SP20,30,12,83.3,83.3,4.5,HIEA 138,Women & the Chinese Revolution (A),A-,3.7,B+,3.39
"Ruiz Stovel, Guillermo",SP20,33,11,90.9,100.0,7.41,HIEA 144,Topics in East Asian History (A),B+,3.56,A-,3.72
"Nathan, Geoffrey Stephen",SP20,59,16,73.3,93.3,6.1,HIEU 104,Byzantine Empire (A),B+,3.4,B,3.02
"Balberg, Mira",SP20,58,23,95.5,95.5,4.14,HIEU 108,Sex & Politics/Ancient World (A),A-,3.71,B+,3.57
"Radcliff, Pamela B.",SP20,54,24,100.0,100.0,5.72,HIEU 140,EuroWomen/Gender 1800-present (A),B+,3.68,B+,3.68
"Edelman, Robert S.",SP20,62,20,95.0,100.0,3.9,HIEU 156,Hist. Soviet Union 1905-1991 (A),B+,3.62,B+,3.46
"Widener, Daniel",SP20,61,18,88.2,88.2,5.32,HILA 122,ColonyToSocialistRepublic:Cuba (A),B+,3.45,B+,3.41
"Vitz, Matthew",SP20,141,49,91.5,95.7,4.72,HILA 132,Modern Mexico (A),B+,3.6,B+,3.65
"Hunefeldt, Christine",SP20,22,10,70.0,80.0,6.9,HILA 144,Topics/Latin American History (A),B,3.0,A-,3.86
"Henry, Todd A.",SP20,157,61,94.8,94.6,4.36,HILD 12,Twentieth-Century East Asia (A),B+,3.5,B+,3.52
"Hendrickson, Gerald M.",SP20,201,59,100.0,100.0,4.19,HILD 2C,United States History (A),A-,3.76,B+,3.47
"Odom, Mychal Matsemelaali",SP20,301,133,80.0,60.8,4.38,HILD 7C,Race & Ethnicity/United States (A),A-,3.91,A-,3.92
"Balberg, Mira",SP20,46,16,100.0,100.0,4.88,HINE 100,The Hebrew Bible and History (A),A-,3.8,B+,3.69
"Kayali, Hasan",SP20,50,29,96.6,96.4,4.84,HINE 118,Middle East/Twentieth Century (A),B+,3.38,B+,3.66
"Kayali, Hasan",SP20,24,16,100.0,100.0,4.5,HINE 127,History of Modern Turkey (A),B+,3.43,A-,3.71
"Edington, Claire Ellen",SP20,48,18,100.0,100.0,4.94,HISC 109,Invention of Tropical Disease (A),A-,3.73,A-,3.73
"Widener, Daniel",SP20,63,21,85.0,85.0,6.2,HITO 155,Race/Sport/Inequality 20th Cen (A),B+,3.67,A-,3.77
"Plant, Rebecca Jo",SP20,156,57,98.2,100.0,4.61,HIUS 112,The U.S. Civil War (A),A-,3.78,A-,3.75
"Klein, Rachel",SP20,49,15,100.0,93.3,4.9,HIUS 130,Cultural Hist/1607-1865 (A),A-,3.71,B+,3.54
"Hanna, Mark G.",SP20,127,47,97.9,97.9,4.84,HIUS 133,The Golden Age of Piracy (A),B+,3.65,A-,3.7
"Klann, Mary Cameron",SP20,36,13,100.0,100.0,4.5,HIUS 136,Citizenship & Civil Rts/20th c (A),A-,3.77,A-,3.83
"Vandevelde, Kenneth Joseph",SP20,48,17,100.0,100.0,4.75,HIUS 152B,Constitutnl Hist/US after 1865 (A),B+,3.56,A-,3.77
"Caldwell, Michael Alan",SP20,311,171,72.9,97.6,6.95,HUM 2,"Rome,Christianity&Middle Ages (A)",B,3.12,B+,3.4
"Markman, Kristina",SP20,281,221,74.1,94.1,6.94,HUM 2,"Rome,Christianity&Middle Ages (B)",B,3.21,B+,3.39
"Chodorow, Stanley A.",SP20,119,62,54.1,70.5,6.43,HUM 2,"Rome,Christianity&Middle Ages (C)",B,3.21,B+,3.36
"Watts, Edward J.",SP20,189,100,67.7,94.8,5.71,HUM 2,"Rome,Christianity&Middle Ages (D)",B,3.26,B,3.27
"West, Geoffrey Scott",SP20,189,146,72.9,91.7,6.0,HUM 2,"Rome,Christianity&Middle Ages (E)",B,3.06,B,3.14
"Thompson, Katherine Anne Merit",SP20,227,91,75.3,96.6,6.43,HUM 5,Modern Culture (1848-Present) (A),B,3.14,B,3.15
"Lyon, Antony J.",SP20,456,333,84.2,97.6,6.34,HUM 5,Modern Culture (1848-Present) (B),B,3.24,B+,3.4
"Graham, Jessica Lynn",SP20,247,106,87.4,95.1,6.91,INTL 101,Cult & Society/Intrn'l Perspec (A),A-,3.7,A-,3.84
"Rothman, Jay Manuel",SP20,220,154,88.2,92.1,5.37,INTL 102,"Econ, Politics & Intn'l Change (A)",B+,3.68,A-,3.81
"Carreri, Maria",SP20,20,19,94.7,94.7,7.97,INTL 190,Seminar/International Studies (A),B+,3.58,B+,3.5
"Fisk, David Lee",SP20,25,6,66.7,83.3,8.83,INTL 190,Seminar/International Studies (B),B,3.0,A-,3.84
"Naoi, Megumi",SP20,20,8,100.0,100.0,7.5,INTL 190,Seminar/International Studies (C),B+,3.5,A-,3.89
"Auerbach, Bradford C",SP20,24,7,100.0,100.0,4.5,INTL 190,Seminar/International Studies (D),B+,3.5,A-,3.76
"Auerbach, Bradford C",SP20,25,11,100.0,100.0,3.77,INTL 190,Seminar/International Studies (E),A-,3.91,A-,3.82
"Segui, Alan S",SP20,24,7,57.1,42.9,5.93,INTL 190,Seminar/International Studies (F),B,3.0,B,3.26
"Niehaus, Paul",SP20,22,8,62.5,75.0,8.0,INTL 190,Seminar/International Studies (G),B,3.0,B+,3.54
"Kshatriya, Krista C",SP20,22,10,100.0,100.0,8.3,INTL 190,Seminar/International Studies (H),B+,3.4,B+,3.64
"Lazitski Torres, Olga",SP20,20,5,100.0,100.0,6.1,INTL 190,Seminar/International Studies (I),B+,3.6,A-,3.8
"Silverman, Reuben William",SP20,20,7,100.0,100.0,8.79,INTL 190,Seminar/International Studies (J),B+,3.6,B+,3.46
"Campos, Amie",SP20,20,6,100.0,100.0,4.83,INTL 190,Seminar/International Studies (K),B+,3.6,A-,3.82
"Tipton, Yuko",SP20,24,11,100.0,100.0,5.77,JAPN 10C,First Year Japanese III (A),B+,3.64,A-,3.89
"Kamioka, Sachiko",SP20,24,15,100.0,100.0,5.79,JAPN 10C,First Year Japanese III (B),A-,3.83,A-,3.74
"Iwamoto, Naoki",SP20,24,10,100.0,100.0,3.7,JAPN 10C,First Year Japanese III (C),A-,3.88,A-,3.86
"Tipton, Yuko",SP20,22,8,100.0,100.0,5.5,JAPN 10C,First Year Japanese III (D),A,4.0,A-,3.88
"Kamioka, Sachiko",SP20,21,13,100.0,100.0,5.27,JAPN 10C,First Year Japanese III (E),A-,3.85,A-,3.95
"Maruyama, Rie",SP20,23,14,85.7,100.0,4.64,JAPN 10C,First Year Japanese III (F),A,4.0,A-,3.98
"Ross, Kayoko F",SP20,24,12,91.7,100.0,4.5,JAPN 10C,First Year Japanese III (G),A-,3.89,B+,3.65
"Iwamoto, Naoki",SP20,22,7,100.0,100.0,5.36,JAPN 10C,First Year Japanese III (H),A-,3.71,A-,3.92
"Maruyama, Rie",SP20,23,12,100.0,100.0,4.67,JAPN 10C,First Year Japanese III (I),B+,3.63,B+,3.55
"Simpson, Junko Tokuda",SP20,20,6,100.0,100.0,5.5,JAPN 10C,First Year Japanese III (J),A-,3.8,A-,3.74
"Iwamoto, Naoki",SP20,24,8,100.0,100.0,5.25,JAPN 10C,First Year Japanese III (K),A-,3.86,A-,3.93
"Takeda, Izumi",SP20,20,8,100.0,87.5,5.75,JAPN 10C,First Year Japanese III (L),A-,3.86,A-,3.78
"Ross, Kayoko F",SP20,20,10,100.0,100.0,5.1,JAPN 10C,First Year Japanese III (M),A-,3.8,A-,3.86
"Ross, Kayoko F",SP20,23,6,100.0,83.3,4.17,JAPN 10C,First Year Japanese III (N),A,4.0,A-,3.96
"Inada, Minori",SP20,21,6,100.0,100.0,3.5,JAPN 130C,Third Year Japanese III (B),B+,3.67,B+,3.62
"Inada, Minori",SP20,21,12,100.0,100.0,4.33,JAPN 20C,Second Year Japanese III (A),A-,3.83,A-,3.78
"Sato, Kyoko",SP20,24,16,100.0,100.0,6.25,JAPN 20C,Second Year Japanese III (B),B+,3.63,B+,3.46
"Inada, Minori",SP20,25,12,100.0,100.0,4.17,JAPN 20C,Second Year Japanese III (C),A,4.0,B+,3.69
"McKee, Mayumi Mochizuki",SP20,25,16,100.0,100.0,4.5,JAPN 20C,Second Year Japanese III (D),A-,3.87,A-,3.84
